,ev_id,ntsb_no,ev_date,ev_type,Aircraft_Key,aircraft category,flight purpose,acft_make,acft_model,homebuilt,num_eng,eng_no,eng_type,damage,far_part,regis_no,ev_city,ev_state,ev_country,latitude,longitude,ev_nr_apt_id,apt_name,ev_highest_injury,inj_tot_f,inj_tot_s,inj_tot_m,inj_tot_n,wx_cond_basic,Occurrence_No,broad phase of flight,specific phase of flight,Occurrence
39112,20201028102207,CEN21LA034,2020-10-28,ACC,1.0,Airplane,Personal,CESSNA,182,N,1.0,1.0,REC,SUBS,091,N3537C,Lebanon,OH,USA,392553N,0841523W,I68,Warren County Airport,NONE,0.0,0.0,0.0,2.0,IMC,1.0,Enroute,Enroute-Cruise,Loss of engine power (total)
39113,20201029102215,WPR21LA030,2020-10-29,ACC,1.0,Airplane,Personal,CESSNA,310,N,2.0,2.0,REC,DEST,091,N101G,Las Vegas,NV,USA,036134N,1151137W,,,FATL,2.0,0.0,0.0,0.0,VMC,4.0,Enroute,Enroute-Climb to cruise,Loss of engine power (partial)
39114,20201030102217,WPR21LA031,2020-10-29,ACC,2.0,Airplane,Positioning,Pearson,Starduster,Y,1.0,1.0,REC,SUBS,091,N768P,Cedar City,UT,USA,037423N,0113556W,CDC,Cedar City Regional Airport,NONE,0.0,0.0,0.0,1.0,VMC,1.0,Landing,Landing-Flare/Touchdown,Loss of control on ground
39115,20210525103139,CEN21LA233,2020-10-30,ACC,1.0,Airplane,Personal,CESSNA,140,N,1.0,1.0,REC,SUBS,091,N76933,Edinburg,TX,USA,262630N,0098720W,EBG,SOUTH TEXAS INTL AT EDINBURG,NONE,0.0,0.0,0.0,1.0,VMC,2.0,Landing,Landing,Landing gear collapse
39116,20201031102218,WPR21LA032,2020-10-31,ACC,1.0,Airplane,Personal,CESSNA,172,N,1.0,1.0,REC,SUBS,091,N124TW,Billings,MT,USA,454839N,1083121W,KBIL,Billings Logan International A,FATL,1.0,0.0,0.0,0.0,VMC,2.0,Approach,Approach-VFR Pattern Final,Unknown or undetermined
39117,20201106102243,ERA21LA038,2020-11-01,ACC,1.0,Airplane,Personal,PIPER,PA22,N,1.0,1.0,REC,SUBS,091,N3225B,Warner Robins,GA,USA,323338N,0834036W,5A2,Warner Robins Airpark,MINR,0.0,0.0,0.0,0.0,VMC,1.0,Landing,Landing-Landing Roll,Nose over/nose down
39118,20201103102225,ERA21LA036,2020-11-01,ACC,1.0,Airplane,Other Work Use,RAYTHEON,400A,N,2.0,1.0,TF,SUBS,135,N456FL,Fernandina Beach,FL,USA,303643N,0812740W,FHB,Fernandina Beach Municipal Air,MINR,0.0,0.0,0.0,5.0,IMC,1.0,Landing,Landing-Landing Roll,Runway excursion
39119,20201102102223,ERA21LA035,2020-11-01,ACC,1.0,Airplane,Personal,GRUMMAN,GA7,N,2.0,2.0,REC,DEST,091,N791GA,Ellicott,NY,USA,042938N,0791424W,JHW,Chautauqua County/Jamestown Ai,FATL,3.0,0.0,0.0,0.0,IMC,1.0,Approach,Approach-IFR Final Approach,Control flight into terr/obj
39120,20201103102224,WPR21LA034,2020-11-02,ACC,1.0,Airplane,Personal,American Legend,AL-3 Cub,Y,1.0,1.0,REC,SUBS,091,N755MG,Minden,NV,USA,385959N,0119459W,MEV,Minden Airport,MINR,0.0,0.0,0.0,0.0,VMC,3.0,Landing,Landing-Landing Roll,Attempted remediation/recovery
39121,20201103102226,WPR21LA035,2020-11-02,ACC,1.0,Airplane,Personal,Carbon,Cub,Y,1.0,1.0,REC,SUBS,091,N3841D,Camano,WA,USA,481512N,0122257W,,Price Airstrip (Private),MINR,0.0,0.0,0.0,0.0,VMC,1.0,Landing,Landing,Aerodynamic stall/spin
39122,20201103102233,ANC21LA004,2020-11-03,ACC,1.0,Gyrocraft,Personal,AutoGyro,MTO Sport,Y,1.0,1.0,REC,DEST,091,N455WM,Whitewater,KS,USA,037564N,0097410W,29KS,Mcmaster Gliderport,FATL,2.0,0.0,0.0,0.0,VMC,2.0,Unknown,Unknown,Loss of control in flight
39123,20201104102235,CEN21LA040,2020-11-03,ACC,,,,,,,,,,,,,Weslaco,TX,USA,261043N,0975826W,TXW,Mid Valley Airport,SERS,0.0,1.0,1.0,0.0,VMC,,,,
39124,20201202102360,WPR21LA064,2020-11-03,ACC,1.0,Airplane,Instructional,STINSON,108-3,N,1.0,1.0,REC,SUBS,091,N6855M,El Monte,CA,USA,034510N,0011825W,EMT,San Gabriel Valley  Airport,NONE,0.0,0.0,0.0,2.0,VMC,1.0,Landing,Landing,Loss of control on ground
39125,20201105102242,ERA21LA037,2020-11-03,ACC,1.0,Airplane,Personal,CESSNA,180,N,1.0,1.0,REC,DEST,091,N6484X,Warrenton,GA,USA,033220N,0823722W,PVT,Private,SERS,0.0,1.0,1.0,0.0,VMC,3.0,Landing,Landing-Landing Roll,Runway excursion
39126,20201105102241,WPR21LA037,2020-11-04,ACC,1.0,Airplane,Instructional,REMOS AIRCRAFT GMBH FLUGZEUGBA,GX,N,1.0,1.0,REC,SUBS,091,N87GX,Glendale,AZ,USA,333137N,1121742W,GEU,Glendale Municipal Airport,NONE,0.0,0.0,0.0,2.0,VMC,2.0,Landing,Landing-Landing Roll,Landing gear collapse
39127,20201109102249,CEN21LA045,2020-11-05,ACC,1.0,Airplane,Personal,Just Aircraft,SuperSTOL,Y,1.0,1.0,REC,SUBS,091,N339PW,Edgard,LA,USA,003022N,0903314W,PVT,Private,NONE,0.0,0.0,0.0,1.0,VMC,5.0,Landing,Landing-Flare/Touchdown,Hard landing
39128,20201109102254,CEN21LA046,2020-11-05,ACC,1.0,Airplane,Personal,NAVION,A,N,1.0,1.0,REC,SUBS,091,N4856K,Fremont,MI,USA,043267N,0855945W,FFX,Fremont Municipal Airport,MINR,0.0,0.0,0.0,1.0,VMC,1.0,Initial Climb,Initial Climb,Fuel starvation
39129,20201112102278,WPR21LA049,2020-11-06,ACC,1.0,Airplane,Personal,RONALD A GAWER,RV-12,Y,1.0,2.0,,SUBS,091,N975G,Byron,CA,USA,374923N,1213747W,C83,Byron Airport,NONE,0.0,0.0,0.0,2.0,VMC,4.0,Landing,Landing-Landing Roll,Collision with terr/obj (non-CFIT)
